index,split_type,query_set,context_set_size,actual_context_n,n_test,n_seeds,delta_auprc,delta_auprc_std,rmse,rmse_std,mae,spearman,spearman_std
0,lbap_core_ic50_scaffold,ood_test,16,16,19480,3,-0.01816362965615385,0.0038293107584873058,1.7854444980621338,0.11119755576928364,1.5288348992665608,-0.09965876336570116,0.019426441822198503
1,lbap_core_ic50_scaffold,iid_test,16,16,31388,3,-0.013467807020353736,0.0015428421568328878,1.4944662650426228,0.05760111933587951,1.2168151537577312,-0.08929013536679165,0.0014560970566451315
2,lbap_core_ic50_scaffold,ood_test,32,32,19480,3,-0.009951313198469128,0.021711163313018193,1.6157448291778564,0.07656935300063493,1.3776825269063313,-0.08182561434028195,0.07225059225650673
3,lbap_core_ic50_scaffold,iid_test,32,32,31388,3,-0.008020956519413999,0.011524069674465261,1.4033208688100178,0.024109894490162872,1.1465755701065063,-0.06884524709443009,0.05049376317057916
4,lbap_core_ic50_scaffold,ood_test,64,64,19480,3,-0.010540092951382437,0.011450283992734652,1.5992439985275269,0.014203986001963048,1.3628501494725545,-0.03856706936092353,0.04480499141652279
5,lbap_core_ic50_scaffold,iid_test,64,64,31388,3,-0.006930349120233159,0.006016122975329521,1.383442719777425,0.00654118338090575,1.130797545115153,-0.03629483956267726,0.016385091364271163
6,lbap_core_ic50_scaffold,ood_test,128,128,19480,3,0.022570318728619438,0.005789539232702145,1.5858487288157146,0.0378296772510191,1.3513673543930054,0.0762052373985828,0.016751294276401214
7,lbap_core_ic50_scaffold,iid_test,128,128,31388,3,0.009490083507221617,0.002192740986141161,1.379319469134013,0.006976776920514442,1.127207358678182,0.033126000082295534,0.026482059321403732
8,lbap_core_ic50_scaffold,ood_test,256,256,19480,3,-0.0006217378328049102,0.01539279728843252,1.6005781491597493,0.037942738237810504,1.3654582103093464,0.02641804885011655,0.06266271058375551
9,lbap_core_ic50_scaffold,iid_test,256,256,31388,3,-0.0024208666103865406,0.011984894806615229,1.3816014130910237,0.015827280590898947,1.1285958687464397,-0.0007464283727878079,0.07488001490084951
10,lbap_core_ic50_scaffold,ood_test,512,512,19480,3,0.01750050389268613,0.017936558665228863,1.6169634660085042,0.02654873588918515,1.3804828723271687,0.04549139027623731,0.05749564344993497
11,lbap_core_ic50_scaffold,iid_test,512,512,31388,3,0.008599837097155283,0.00761774793072816,1.3827956517537434,0.009078274169421679,1.1288940906524658,0.019757977615874136,0.02622006152240278
12,lbap_core_ic50_size,ood_test,16,16,16761,3,0.013315308328835393,0.005641311860566298,1.6240627368291218,0.24660661820276839,1.408344308535258,0.045157813567371106,0.020005694314708434
13,lbap_core_ic50_size,iid_test,16,16,12721,3,0.0044646416118601095,0.000753421326027315,1.347697337468465,0.0396176114920351,1.0902146100997925,0.05962153757273523,0.05690976170482601
