assay_id,split_type,episode,n_molecules,n_scaffold_groups,n_usable_groups,support_label_var,mean,knn_k1,knn_k3,knn_k5,kr_tanimoto_a0.01,kr_tanimoto_a0.1,kr_tanimoto_a1.0,ptn
CHEMBL2363144,random,0,94,89,0,3.4579787254333496,1.6918222904205322,2.7301125526428223,1.7766523361206055,1.869523525238037,1.0470633506774902,1.038020133972168,1.3604252338409424,0.40565669536590576
CHEMBL2363144,random,1,94,89,0,2.507723093032837,3.0637946128845215,6.795666217803955,3.2900190353393555,3.0105910301208496,1.9834692478179932,1.910581350326538,1.7751082181930542,0.7589796781539917
CHEMBL2363144,random,2,94,89,0,1.9502164125442505,1.579681634902954,2.324904680252075,1.4198204278945923,1.2921981811523438,2.3914270401000977,2.4553027153015137,3.4628634452819824,0.6043171286582947
CHEMBL2363144,random,3,94,89,0,2.963709831237793,2.2363479137420654,5.163872718811035,3.5941848754882812,2.2954275608062744,2.760863780975342,2.924309730529785,4.27603816986084,1.2786487340927124
CHEMBL2363144,random,4,94,89,0,2.2714176177978516,2.858865261077881,3.3501040935516357,1.888167381286621,2.5849149227142334,4.355165481567383,4.572015285491943,6.372917175292969,0.7259931564331055
CHEMBL2363144,random,5,94,89,0,1.6307976245880127,2.2107133865356445,3.4842982292175293,1.9157681465148926,2.1398696899414062,2.077613353729248,2.218632459640503,3.6054112911224365,0.5146750211715698
CHEMBL2363144,random,6,94,89,0,1.881188154220581,1.3844220638275146,3.899724006652832,2.4719762802124023,1.4687676429748535,2.059464931488037,2.016554832458496,2.532306432723999,0.48058420419692993
CHEMBL2363144,random,7,94,89,0,2.3781096935272217,2.2115466594696045,2.273499011993408,1.8092705011367798,1.6791948080062866,1.6974011659622192,1.7174222469329834,2.3935470581054688,0.674824595451355
CHEMBL2363144,random,8,94,89,0,2.4637348651885986,2.75232195854187,4.761191368103027,2.226071357727051,2.3760452270507812,2.119614839553833,2.2755813598632812,3.8226678371429443,0.4725506901741028
CHEMBL2363144,random,9,94,89,0,0.8836488723754883,2.0995261669158936,2.1571733951568604,1.355234980583191,1.8747721910476685,2.700458526611328,2.7049782276153564,3.0189192295074463,0.8600002527236938
CHEMBL682251,random,0,123,30,7,1.7302963733673096,1.0913364887237549,1.1076858043670654,1.2036257982254028,1.078794240951538,1.02009117603302,0.9184526205062866,1.4996061325073242,1.7360451221466064
CHEMBL682251,scaffold,0,123,30,7,0.2489723265171051,6.15145206451416,10.83656120300293,9.410320281982422,8.344170570373535,24.84735870361328,23.667587280273438,25.15427017211914,6.818935394287109
CHEMBL682251,random,1,123,30,7,2.0368733406066895,0.6632423400878906,1.9739644527435303,1.0639674663543701,0.7492249608039856,1.2708852291107178,1.231218934059143,2.385124444961548,1.084351658821106
CHEMBL682251,scaffold,1,123,30,7,0.8248310089111328,1.0475443601608276,3.2541956901550293,3.2655742168426514,2.5613386631011963,7.771537780761719,7.6910810470581055,8.56633472442627,1.905333399772644
CHEMBL682251,random,2,123,30,7,1.941219449043274,1.798564076423645,1.3687691688537598,1.675430178642273,1.7311632633209229,1.1638470888137817,1.2840220928192139,2.6294898986816406,1.4642009735107422
CHEMBL682251,scaffold,2,123,30,7,0.34146812558174133,0.4126599133014679,0.6395443677902222,0.6701765060424805,0.38271716237068176,18.505224227905273,18.438488006591797,20.052032470703125,0.4147380590438843
CHEMBL682251,random,3,123,30,7,1.957281231880188,1.6262760162353516,1.270084261894226,1.4534831047058105,1.7012032270431519,0.8288684487342834,0.9356940984725952,2.0100884437561035,2.13862681388855
CHEMBL682251,scaffold,3,123,30,7,0.47196659445762634,4.834582328796387,4.073215484619141,4.326096534729004,4.3205037117004395,14.677027702331543,15.450371742248535,19.444133758544922,3.991161346435547
CHEMBL682251,random,4,123,30,7,1.3146345615386963,2.6649250984191895,1.9936354160308838,1.9012354612350464,2.574321985244751,2.4840590953826904,2.750892162322998,5.089179039001465,2.146157741546631
CHEMBL682251,scaffold,4,123,30,7,1.4040820598602295,4.772729873657227,2.028857707977295,8.30188274383545,4.9199018478393555,26.292997360229492,27.431827545166016,32.144371032714844,4.779324531555176
CHEMBL682251,random,5,123,30,7,0.7761816382408142,1.9021440744400024,1.4803760051727295,1.6715738773345947,1.9919452667236328,1.1037194728851318,1.2629777193069458,2.777226209640503,3.1048214435577393
